iter	Passed	Remaining
0	15	15785
1	32	16138
2	46	15521
3	61	15307
4	75	15089
5	89	14903
6	104	14783
7	119	14803
8	134	14863
9	151	15002
10	168	15108
11	182	15015
12	196	14944
13	212	14956
14	225	14804
15	237	14618
16	251	14536
17	267	14572
18	281	14521
19	297	14576
20	313	14615
21	329	14669
22	344	14639
23	360	14673
24	376	14686
25	393	14736
26	408	14715
27	422	14679
28	437	14665
29	453	14654
30	467	14608
31	481	14553
32	493	14454
33	508	14458
34	522	14406
35	537	14402
36	555	14445
37	571	14459
38	589	14515
39	605	14541
40	622	14560
41	637	14537
42	653	14536
43	669	14555
44	686	14562
45	702	14569
46	719	14585
47	735	14582
48	748	14534
49	762	14487
50	776	14450
51	790	14404
52	803	14365
53	819	14353
54	834	14329
55	848	14309
56	864	14304
57	877	14250
58	890	14202
59	903	14160
60	917	14120
61	931	14095
62	945	14056
63	959	14038
64	976	14046
65	992	14045
66	1006	14019
67	1021	13999
68	1036	13982
69	1050	13962
70	1064	13934
71	1079	13910
72	1094	13895
73	1107	13858
74	1122	13849
75	1138	13837
76	1152	13820
77	1169	13818
78	1185	13817
79	1202	13823
80	1218	13825
81	1234	13821
82	1249	13804
83	1265	13804
84	1279	13768
85	1300	13816
86	1316	13811
87	1331	13802
88	1348	13800
89	1363	13789
90	1380	13791
91	1396	13779
92	1413	13781
93	1431	13795
94	1460	13914
95	1478	13919
96	1494	13912
97	1510	13905
98	1527	13905
99	1542	13883
100	1557	13866
101	1574	13859
102	1591	13862
103	1607	13849
104	1624	13851
105	1642	13850
106	1659	13846
107	1674	13830
108	1689	13810
109	1704	13794
110	1719	13774
111	1736	13766
112	1751	13749
113	1766	13727
114	1782	13717
115	1798	13706
116	1814	13695
117	1829	13675
118	1843	13648
119	1856	13616
120	1870	13589
121	1884	13562
122	1901	13560
123	1918	13552
124	1934	13538
125	1948	13515
126	1965	13510
127	1981	13500
128	1997	13485
129	2012	13469
130	2028	13457
131	2044	13443
132	2058	13421
133	2074	13408
134	2088	13380
135	2102	13354
136	2115	13328
137	2130	13307
138	2143	13280
139	2160	13272
140	2178	13270
141	2192	13250
142	2208	13238
143	2224	13222
144	2239	13205
145	2255	13195
146	2270	13175
147	2286	13164
148	2302	13151
149	2318	13137
150	2333	13122
151	2350	13112
152	2366	13103
153	2381	13084
154	2396	13063
155	2410	13039
156	2424	13017
157	2438	12995
158	2453	12977
159	2468	12961
160	2483	12941
161	2499	12930
162	2515	12915
163	2534	12919
164	2550	12906
165	2567	12898
166	2584	12890
167	2599	12875
168	2616	12863
169	2631	12849
170	2647	12833
171	2663	12824
172	2681	12820
173	2696	12798
174	2711	12780
175	2724	12757
176	2739	12736
177	2752	12709
178	2765	12686
179	2779	12663
180	2793	12642
181	2808	12621
182	2823	12604
183	2838	12588
184	2854	12573
185	2870	12563
186	2886	12550
187	2903	12539
188	2919	12526
189	2934	12511
190	2952	12505
191	2968	12490
192	2983	12475
193	2998	12459
194	3012	12437
195	3024	12407
196	3036	12377
197	3049	12352
198	3063	12332
199	3077	12311
200	3090	12284
201	3106	12271
